Year,CountyCode,CountyName,CauseOfLossCode,CauseOfLossDescription,MonthOfLoss,MonthOfLossName,PoliciesEarningPremium,PoliciesIndemnified,NetPlantedAcres,Liability,TotalPremium,NetAcresLoss,Indemnity,IndemnityByPremium
1999,21,Glenn                         ,44,Cold Wet Weather                                                                                    ,7,JUL,1,1,30,13894,350,30,3525,10.07
1999,21,Glenn                         ,99,"Other (Snow,Lightning,etc)                                                                        ",8,AUG,2,2,730,144134,2779,726.9,59284,21.33
1999,49,Modoc                         ,21,Hail                                                                                                ,8,AUG,2,2,460,243800,14262,460,79629,5.58
1999,61,Placer                        ,43,Cold Winter                                                                                         ,6,JUN,1,1,207.3,79562,1750,207.3,11770,6.73
1999,61,Placer                        ,99,"Other (Snow,Lightning,etc)                                                                        ",7,JUL,1,1,30.96,5442,122,30.96,460,3.77
1999,77,San Joaquin                   ,41,Frost                                                                                               ,4,APR,2,2,54.3,21446,934,54.3123,6221,6.66
1999,77,San Joaquin                   ,44,Cold Wet Weather                                                                                    ,8,AUG,4,4,326.91,152636,6156,326.916,27690,4.5
1999,77,San Joaquin                   ,44,Cold Wet Weather                                                                                    ,7,JUL,1,1,323.73,130696,5708,323.7529,32787,5.74
1999,77,San Joaquin                   ,99,"Other (Snow,Lightning,etc)                                                                        ",8,AUG,1,1,26.85,13933,558,26.852,221,0.4
1999,99,Stanislaus                    ,43,Cold Winter                                                                                         ,8,AUG,1,1,56,23629,883,56,568,0.64
1999,99,Stanislaus                    ,44,Cold Wet Weather                                                                                    ,8,AUG,1,1,57.89,22104,857,57.8956,3830,4.47
1999,99,Stanislaus                    ,99,"Other (Snow,Lightning,etc)                                                                        ",8,AUG,1,1,59.6,26728,1111,59.6,1726,1.55
1999,101,Sutter                        ,31,Excess Moisture/Precipitation/Rain                                                                  ,5,MAY,1,1,100,23420,400,100,17254,43.14
1999,101,Sutter                        ,41,Frost                                                                                               ,4,APR,1,1,54,5857,174,54,4499,25.86
1999,101,Sutter                        ,44,Cold Wet Weather                                                                                    ,7,JUL,2,2,481.9,204307,6477,793.4264,46133,7.12
1999,101,Sutter                        ,44,Cold Wet Weather                                                                                    ,7,JUL,1,1,328.1,118949,4360,16.65,5378,1.23
1999,101,Sutter                        ,44,Cold Wet Weather                                                                                    ,5,MAY,1,1,36,3905,116,36,2999,25.85
1999,101,Sutter                        ,99,"Other (Snow,Lightning,etc)                                                                        ",7,JUL,2,2,656.25,237900,8719,33.3,10756,1.23
1999,101,Sutter                        ,99,"Other (Snow,Lightning,etc)                                                                        ",7,JUL,3,3,796.25,316024,11531,1419.4528,12220,1.06
1999,103,Tehama                        ,31,Excess Moisture/Precipitation/Rain                                                                  ,9,SEP,1,1,91.8,8916,339,91.8,8916,26.3
1999,103,Tehama                        ,61,Wind/Excess Wind                                                                                    ,10,OCT,1,1,55.2,7825,173.2,18.816,1977.2,11.42
1999,103,Tehama                        ,61,Wind/Excess Wind                                                                                    ,10,OCT,1,1,55.2,7825,173.2,91.84,3236.4,18.69
1999,103,Tehama                        ,99,"Other (Snow,Lightning,etc)                                                                        ",8,AUG,1,1,82.8,11737.5,259.8,28.224,2965.8,11.42
1999,103,Tehama                        ,99,"Other (Snow,Lightning,etc)                                                                        ",8,AUG,1,1,82.8,11737.5,259.8,137.76,4854.6,18.69
1999,113,Yolo                          ,44,Cold Wet Weather                                                                                    ,8,AUG,2,2,670,340624,11893,670,54499,4.58
1999,113,Yolo                          ,99,"Other (Snow,Lightning,etc)                                                                        ",6,JUN,1,1,25.6,13750,458,25.6,690,1.51
1999,113,Yolo                          ,99,"Other (Snow,Lightning,etc)                                                                        ",7,JUL,2,2,844,144910,2869,844,29788,10.38
